 Timestamp,Channel0,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Channel11,Channel12,Channel13,Channel14,Channel15
14:12:04,-64957.29863,24456.92116,69454.00023,91903.66768,39847.37126,57456.45552,21557.2517,11988.73812,51545.76022,37358.34805,48587.37273,54389.21504,48391.83967,65318.30166,-187500.0224,36680.86668
14:12:05,-63045.06219,25696.21363,70685.93898,93147.00581,41064.87078,58662.42154,22777.25461,13215.40185,52789.0313,38595.22654,49836.03058,55641.248,49617.69874,66553.41435,-187500.0224,37901.38369
14:12:06,-62034.24925,22632.77294,67628.15328,90053.1444,38019.57971,55614.2471,19748.52619,10176.7269,49765.13085,35608.38528,46830.36915,52630.28921,46602.98486,63555.33016,-187500.0224,34896.12459
14:12:07,-62480.36772,21045.79908,66020.92874,88433.04526,36395.52431,54003.0216,18129.38817,8558.080621,48214.81385,34012.44837,45240.64603,51051.74196,44997.63787,61963.64009,-187500.0224,33298.75717
14:12:08,-64905.28612,18280.17304,63309.30451,85677.96924,33685.08472,51306.70831,15440.31685,5878.464088,45379.67388,31254.35486,42466.54868,48243.98288,42229.68724,59165.91694,-187500.0224,30519.76478
14:12:09,-64992.41322,19033.91856,64007.84123,86383.45735,34379.08404,51963.2461,16144.91089,6599.330199,46152.15017,31953.33862,43079.16529,48922.49244,42902.74297,59838.99502,-187500.0224,31176.41433
14:12:10,-62014.82558,20054.54392,65072.99126,87433.58701,35436.96975,52987.6042,17216.78879,7682.786308,47228.56548,33017.63928,44153.50189,49967.72706,43967.44597,60945.58518,-187500.0224,32258.46228
14:12:11,-58886.58719,21548.37806,66591.21115,88996.93507,36947.92532,54468.98841,18745.33519,9204.560125,48752.73094,34551.39363,45669.68777,51490.88669,45489.89034,62469.41536,-187500.0224,33802.29727
14:12:12,-56388.28801,24327.25869,69387.14616,91753.12868,39713.10433,57200.12572,21528.59676,11989.58748,51552.21987,37364.6736,48457.08441,54277.41161,48280.12565,65255.78383,-187500.0224,36573.26538
14:12:13,-58728.91798,21299.73725,66364.05037,88626.27609,36701.69851,54204.90255,18541.04025,9009.563507,48493.4507,34323.33879,45442.03525,51251.94654,45282.66731,62231.39164,-187500.0224,33600.72924
14:12:14,-64160.83892,17205.81409,62273.59173,84499.9429,32620.04645,50135.4769,14454.35905,4917.450835,44408.49059,30256.43888,41353.9906,47143.98648,41181.32337,58123.40923,-187500.0224,29484.43198
14:12:15,-68264.44039,15151.55466,60202.36733,82408.44547,30555.30406,48077.55179,12417.91396,2869.181677,42296.85423,28147.90942,39267.29879,45060.44627,39079.38767,56031.353,-187500.0224,27384.99968
14:12:16,-70328.82516,14342.22035,59389.74731,81571.32793,29753.03289,47278.96867,11632.25015,2076.700577,41497.62291,27356.90354,38476.40466,44252.96715,38281.85508,55238.2237,-187500.0224,26589.70226
14:12:17,-71449.07224,14066.84686,59143.38638,81322.82124,29501.06168,47013.92168,11400.30609,1845.002394,41220.34952,27080.70303,38199.86888,43979.49356,38011.60014,54980.7316,-187500.0224,26330.1091
14:12:18,-70301.08664,15462.24391,60535.69889,82705.61191,30888.45681,48371.99132,12793.89266,3248.759001,42607.83405,28473.97667,39607.49234,45382.66902,39404.76202,56369.82547,-187500.0224,27716.63251
14:12:19,-70017.10773,15624.53993,60711.36125,82874.90402,31052.71978,48538.37771,12956.38984,3411.189128,42802.16012,28670.18028,39806.53462,45583.74531,39599.24455,56577.8755,-187500.0224,27916.52416
14:12:20,-67188.82974,15574.2038,60658.09705,82791.21909,31006.09404,48461.15243,12949.77372,3402.047265,42736.89303,28643.35819,39733.69029,45502.58613,39542.22525,56510.82027,-187500.0224,27864.28814
14:12:21,-66596.73203,14884.36191,60002.94507,82113.84947,30353.26664,47830.11798,12327.65762,2779.372368,41987.88607,27909.86334,39081.53344,44840.21453,38902.38421,55848.64984,-187500.0224,27220.69201
14:12:22,-63458.74828,19574.87548,64667.9553,86812.49908,34985.64333,52389.80679,16976.12756,7440.672212,46702.58423,32609.00469,43717.03937,49468.59026,43504.07195,60443.565,-187500.0224,31814.0649
